time,x,y,z
1.790,0.11,0.00,0.04
1.801,0.08,-0.04,0.03
1.822,0.04,-0.07,-0.02
1.824,-0.01,-0.00,-0.01
1.830,-0.00,0.00,0.03
1.843,0.03,-0.02,0.05
1.850,0.06,-0.07,-0.02
1.860,0.07,0.01,-0.10
1.873,0.07,-0.07,-0.09
1.879,0.15,0.05,0.01
1.891,0.11,0.00,-0.07
1.899,0.29,0.01,-0.09
1.926,0.38,-0.05,-0.11
1.930,0.31,0.01,-0.06
1.934,0.28,-0.01,-0.02
1.942,0.21,-0.05,-0.08
1.949,0.19,-0.00,-0.04
1.959,0.19,0.13,-0.17
1.969,0.10,0.15,0.01
1.978,0.14,0.08,-0.06
2.001,0.20,-0.04,0.02
2.006,0.10,0.03,-0.07
2.008,0.11,0.00,-0.03
2.019,0.12,-0.05,0.06
2.029,0.18,0.01,-0.03
2.038,0.17,-0.03,-0.03
2.048,0.13,-0.05,-0.03
2.057,0.14,0.01,-0.06
2.067,0.12,-0.04,-0.04
2.077,0.12,-0.02,0.01
2.091,0.16,-0.01,-0.04
2.096,0.12,-0.04,-0.03
2.122,0.10,-0.05,-0.02
2.123,0.19,0.01,-0.02
2.127,0.14,-0.03,-0.07
2.146,0.16,-0.01,-0.03
2.147,0.14,-0.05,-0.05
2.156,0.14,-0.03,0.02
2.166,0.14,-0.05,-0.05
2.175,0.11,-0.02,0.01
2.189,0.14,0.02,-0.05
2.197,0.15,0.00,-0.01
2.207,0.09,-0.04,-0.02
2.215,0.13,-0.02,0.00
2.238,0.13,-0.04,-0.08
2.240,0.14,0.00,-0.09
2.259,0.14,-0.03,-0.04
2.260,0.10,-0.02,-0.09
2.265,0.12,-0.03,-0.03
2.278,0.16,-0.03,0.00
2.284,0.14,-0.03,-0.02
2.294,0.14,-0.01,0.01
2.326,0.11,0.00,-0.09
2.328,0.18,-0.07,-0.04
2.329,0.13,-0.03,-0.02
2.334,0.10,0.01,0.00
2.343,0.14,-0.04,0.04
2.356,0.05,-0.04,-0.03
2.364,-0.05,-0.22,0.06
2.373,-0.02,-0.07,0.05
2.384,0.57,-0.27,0.03
2.393,0.24,-0.16,0.05
2.404,0.08,0.10,-0.04
2.419,0.16,-0.18,-0.12
2.424,0.22,0.26,-0.20
2.449,0.17,0.06,-0.12
2.452,0.13,0.09,0.05
2.453,0.10,-0.09,0.01
2.463,0.10,-0.08,-0.13
2.472,-0.05,-0.06,-0.13
2.482,-0.25,-0.02,-0.15
2.491,-0.36,0.02,-0.21
2.502,-0.57,0.22,-0.00
2.518,-0.50,-0.19,0.26
2.522,-0.83,0.03,0.42
2.531,-0.82,0.03,0.42
2.545,-0.85,-0.20,0.53
2.551,-0.86,-0.10,0.46
2.561,-0.92,0.03,0.29
2.572,-0.88,0.00,0.17
2.581,-1.09,-0.05,0.04
2.591,-1.39,0.01,0.00
2.601,-0.99,0.02,0.13
2.617,-1.04,0.24,0.54
2.620,-0.94,0.07,0.65
2.630,-1.19,-0.15,0.34
2.655,-0.82,0.05,0.28
2.656,-1.43,-0.10,0.25
2.660,-0.97,-0.08,0.37
2.669,-1.48,0.07,-0.01
2.680,-1.03,0.26,0.02
2.692,-1.48,-0.10,0.23
2.702,-1.32,0.07,0.41
2.734,-1.70,-0.13,0.33
2.736,-1.64,-0.04,0.21
2.738,-1.15,0.06,0.50
2.739,-1.38,-0.61,0.65
2.762,-1.57,0.42,0.56
2.764,-1.50,-0.32,0.61
2.769,-1.98,-0.11,0.50
2.779,-1.78,0.32,0.39
2.790,-1.86,-0.23,0.41
2.799,-2.11,0.26,0.52
2.822,-2.46,-0.02,0.57
2.823,-2.40,0.13,0.63
2.829,-2.35,-0.24,0.73
2.853,-2.61,0.06,0.55
2.856,-2.80,-0.17,0.53
2.858,-2.82,0.20,0.64
2.868,-2.53,-0.05,0.78
2.879,-2.27,0.02,0.66
2.887,-2.06,0.16,0.46
2.898,-1.83,0.12,0.41
2.922,-1.66,0.10,0.41
2.923,-1.45,0.06,0.37
2.926,-1.27,-0.01,0.27
2.940,-0.86,-0.10,0.23
2.953,-0.69,0.09,0.16
2.956,-0.61,0.15,0.11
2.965,-0.74,-0.12,0.15
2.978,-0.63,0.15,0.21
2.986,-0.46,0.01,0.23
2.998,-0.45,0.01,0.26
3.023,-0.15,0.22,0.05
3.025,-0.15,-0.17,-0.12
3.026,0.01,-0.01,-0.10
3.038,0.04,-0.02,-0.13
3.046,0.31,-0.12,-0.10
3.056,0.36,-0.07,-0.21
3.066,0.57,-0.08,-0.20
3.075,0.57,-0.17,-0.20
3.084,0.72,0.17,-0.13
3.096,0.70,0.07,-0.16
3.105,0.96,0.00,-0.10
3.125,0.81,0.04,-0.13
3.134,0.69,0.02,-0.21
3.138,0.84,-0.02,-0.23
3.153,0.63,0.04,-0.29
3.156,0.90,0.14,-0.25
3.164,0.92,0.00,-0.11
3.176,0.55,-0.07,-0.16
3.183,0.69,0.09,-0.25
3.195,0.78,-0.05,-0.35
3.204,0.67,0.04,-0.26
3.235,0.80,0.26,-0.16
3.237,0.71,-0.25,-0.14
3.240,0.70,0.15,-0.31
3.246,0.82,-0.14,-0.37
3.253,0.76,0.08,-0.30
3.262,0.86,-0.02,-0.19
3.274,0.94,0.07,-0.17
3.282,0.79,-0.05,-0.17
3.292,0.99,0.07,-0.31
3.302,0.84,-0.02,-0.32
3.340,0.83,0.13,-0.14
3.342,0.79,-0.13,-0.06
3.345,0.89,0.02,-0.16
3.346,0.84,-0.05,-0.27
3.357,0.73,-0.09,-0.35
3.363,0.67,0.04,-0.16
3.372,0.68,-0.03,-0.10
3.381,0.88,-0.02,-0.13
3.392,0.78,-0.07,-0.35
3.400,0.61,0.04,-0.35
3.410,0.55,0.00,-0.18
3.422,0.54,0.10,0.04
3.455,0.65,-0.04,-0.15
3.459,0.48,-0.03,-0.36
3.460,0.51,-0.04,-0.36
3.461,0.57,-0.06,-0.00
3.470,0.59,0.04,0.02
3.482,0.55,-0.15,-0.21
3.493,0.47,0.12,-0.39
3.498,0.70,0.08,-0.20
3.520,0.60,0.03,0.05
3.522,0.71,0.04,-0.02
3.532,0.49,-0.08,-0.26
3.539,0.49,0.08,-0.22
3.549,0.50,-0.04,-0.01
3.559,0.38,-0.07,0.09
3.569,0.35,-0.57,0.27
3.579,0.65,-0.28,-0.44
3.589,0.15,0.20,-0.18
3.598,0.65,-0.20,0.09
3.640,0.54,-0.30,-0.07
3.641,-0.08,-0.00,-0.38
3.642,0.33,0.45,-0.11
3.643,0.29,0.01,-0.10
3.648,0.51,0.11,-0.08
3.658,0.07,0.31,-0.22
3.668,0.51,-0.37,-0.15
3.679,-0.01,0.12,0.06
3.689,0.50,-0.01,0.16
3.697,0.17,-0.08,-0.12
3.721,0.39,0.22,-0.00
3.722,-0.01,-0.24,0.05
3.727,0.31,-0.06,0.15
3.737,-0.00,0.15,-0.07
3.756,0.16,-0.11,-0.10
3.758,-0.20,-0.02,0.02
3.766,0.03,0.09,0.06
3.777,0.00,-0.05,-0.10
3.789,-0.04,0.07,-0.06
3.796,-0.28,0.02,-0.01
3.833,-0.26,-0.11,0.11
3.835,-0.43,0.04,0.10
3.836,-0.38,-0.08,0.03
3.838,-0.49,-0.02,0.06
3.847,-0.47,0.10,0.15
3.856,-0.38,-0.09,0.20
3.865,-0.47,0.10,0.09
3.876,-0.30,-0.05,0.07
3.885,-0.32,0.03,0.12
3.894,-0.05,0.01,0.11
3.906,-0.13,-0.03,0.03
3.933,-0.21,0.00,-0.04
3.938,-0.16,-0.03,0.11
3.945,0.03,-0.04,-0.00
3.948,0.11,0.02,-0.04
3.965,0.06,-0.09,-0.10
3.967,0.13,0.04,-0.08
3.974,0.36,-0.07,-0.07
3.984,0.49,0.07,-0.09
3.993,0.29,-0.05,-0.21
4.004,0.49,0.18,-0.13
4.023,0.34,-0.03,-0.14
4.025,0.70,0.08,-0.13
4.034,0.61,-0.09,-0.23
4.044,0.56,-0.05,-0.24
4.053,0.65,-0.13,-0.20
4.064,0.67,-0.03,-0.12
4.073,0.70,-0.09,-0.21
4.083,0.87,0.12,-0.17
4.094,0.68,0.28,-0.13
4.103,0.71,0.17,-0.15
4.128,0.65,0.10,-0.22
4.134,0.72,0.05,-0.26
4.135,0.76,-0.20,-0.24
4.145,0.68,-0.31,-0.22
4.151,1.17,-0.53,-0.10
4.163,0.94,0.11,-0.12
4.172,0.76,0.56,-0.26
4.183,0.80,-0.32,-0.22
4.191,0.58,-0.09,-0.22
4.201,0.58,0.03,-0.18
4.226,0.73,-0.14,-0.08
4.228,0.47,0.15,-0.25
4.230,0.62,0.26,-0.13
4.240,0.65,-0.16,-0.12
4.263,0.55,0.25,-0.04
4.265,0.41,-0.11,-0.20
4.270,0.44,-0.30,-0.16
4.281,0.32,0.06,-0.06
4.290,0.57,-0.06,-0.00
4.300,0.38,-0.15,-0.10
4.325,0.54,0.12,-0.13
4.326,0.53,-0.31,-0.21
4.340,0.63,0.11,-0.15
4.353,0.35,-0.10,-0.21
4.354,0.61,-0.06,-0.13
4.361,0.62,0.15,-0.17
4.369,0.62,-0.14,-0.17
4.380,0.50,0.10,-0.13
4.390,0.44,-0.10,-0.08
4.399,0.50,-0.13,-0.11
4.422,0.57,-0.04,-0.14
4.424,0.60,-0.13,-0.21
4.444,0.88,-0.07,-0.27
4.447,0.98,-0.03,-0.20
4.448,0.93,0.04,-0.27
4.459,1.07,0.03,-0.21
4.467,1.00,0.03,-0.30
4.481,1.12,-0.01,-0.21
4.488,1.02,-0.12,-0.28
4.504,1.12,-0.06,-0.29
4.507,0.94,-0.57,-0.27
4.531,0.78,0.26,-0.26
4.532,0.97,-0.09,-0.30
4.537,0.99,0.12,-0.25
4.555,0.76,0.26,-0.26
4.563,1.08,-0.16,-0.21
4.567,0.97,0.08,-0.20
4.579,0.88,0.15,-0.19
4.586,1.07,-0.24,-0.27
4.597,0.97,0.04,-0.23
4.606,1.19,-0.10,-0.20
4.622,1.15,-0.14,-0.32
4.668,1.19,0.19,-0.31
4.669,1.30,-0.08,-0.28
4.670,1.32,0.04,-0.32
4.672,1.40,0.11,-0.32
4.673,1.46,-0.06,-0.40
4.675,1.45,0.05,-0.39
4.686,1.47,0.02,-0.42
4.696,1.49,-0.10,-0.36
4.704,1.43,0.07,-0.39
4.725,1.58,-0.11,-0.41
4.727,1.59,-0.12,-0.38
4.735,1.66,0.08,-0.47
4.758,1.65,-0.14,-0.43
4.760,1.69,0.02,-0.43
4.764,1.68,0.08,-0.43
4.775,1.75,-0.08,-0.45
4.784,1.64,0.09,-0.38
4.794,1.55,0.01,-0.38
4.814,1.26,0.05,-0.32
4.829,1.23,-0.09,-0.29
4.849,1.17,-0.02,-0.31
4.851,1.18,0.03,-0.27
4.853,1.22,-0.09,-0.25
4.878,1.23,0.07,-0.27
4.880,1.27,0.00,-0.35
4.881,1.24,-0.08,-0.28
4.892,1.26,0.04,-0.29
4.903,1.36,-0.05,-0.31
4.927,1.48,-0.04,-0.31
4.928,1.47,0.00,-0.42
4.933,1.36,-0.06,-0.37
4.942,1.18,-0.03,-0.32
4.953,1.04,-0.00,-0.25
4.962,1.22,0.31,-0.20
4.972,1.29,-0.15,-0.35
4.981,1.46,0.01,-0.39
4.992,1.39,-0.03,-0.38
5.002,1.39,-0.26,-0.35
5.027,1.31,0.10,-0.25
5.029,1.11,0.11,-0.32
5.031,1.12,-0.08,-0.35
5.040,1.02,-0.03,-0.24
5.052,1.00,-0.07,-0.18
5.062,0.95,0.08,-0.15
5.070,0.93,-0.12,-0.19
5.080,0.80,0.09,-0.20
5.090,0.83,-0.05,-0.11
5.100,0.88,-0.02,-0.15
5.113,0.73,0.03,-0.26
5.140,0.78,0.01,-0.17
5.143,0.82,-0.10,-0.18
5.144,0.89,0.04,-0.12
5.156,0.87,-0.04,-0.24
5.160,0.97,-0.03,-0.26
5.169,0.90,-0.07,-0.18
5.179,1.11,0.07,-0.23
5.189,0.91,0.05,-0.25
5.199,0.88,-0.02,-0.15
5.209,0.81,0.06,-0.16
5.225,0.82,0.16,-0.13
5.229,0.89,0.18,-0.20
5.239,0.99,0.11,-0.19
5.249,1.12,-0.10,-0.23
5.259,0.91,-0.32,-0.18
5.268,0.82,-0.26,-0.22
5.279,0.71,-0.03,-0.20
5.288,0.63,0.44,-0.20
5.298,0.62,-0.12,-0.11
5.308,0.63,-0.30,-0.15
5.325,0.59,0.11,-0.15
5.330,0.46,-0.08,-0.18
5.341,0.46,-0.10,-0.09
5.348,0.50,0.02,-0.05
5.356,0.54,-0.06,-0.11
5.367,0.26,-0.07,-0.06
5.376,0.33,-0.06,0.01
5.387,0.30,0.19,-0.03
5.396,0.40,-0.11,-0.03
5.406,0.14,-0.41,-0.05
5.423,0.34,0.04,-0.07
5.433,0.18,-0.33,0.02
5.437,0.07,0.44,0.05
5.462,-0.20,0.07,-0.05
5.463,0.15,-0.34,-0.04
5.467,0.12,0.07,-0.10
5.475,0.15,-0.12,-0.07
5.486,-0.04,-0.07,-0.01
5.497,0.06,0.08,0.02
5.506,0.14,-0.17,0.08
5.515,0.07,-0.09,-0.04
5.528,-0.16,0.13,0.07
5.550,-0.01,-0.02,0.09
5.552,0.02,-0.14,0.08
5.553,0.25,0.20,-0.04
5.595,0.40,-0.17,-0.10
5.598,0.34,0.01,-0.08
5.600,0.28,0.02,-0.04
5.601,0.16,-0.21,0.05
5.603,0.09,-0.06,0.04
5.613,0.19,0.01,-0.00
5.623,0.37,-0.18,-0.13
5.651,0.35,0.16,-0.12
5.653,0.28,-0.09,-0.08
5.654,0.18,-0.00,-0.00
5.664,0.26,0.08,-0.04
5.672,0.43,-0.12,-0.09
5.683,0.39,0.11,-0.10
5.692,0.24,-0.03,-0.04
5.703,0.34,-0.04,0.03
5.749,0.04,0.11,-0.02
5.758,0.32,-0.08,0.02
5.760,0.09,0.04,-0.05
5.761,0.15,-0.00,0.01
5.762,-0.11,-0.05,0.09
5.763,-0.26,-0.13,0.01
5.771,-0.39,-0.04,0.00
5.784,-0.09,-0.01,0.09
5.792,-0.06,0.04,0.04
5.801,-0.29,0.09,-0.01
5.811,-0.48,-0.02,0.06
5.829,-0.42,0.10,0.09
5.830,-0.42,-0.11,0.17
5.846,-0.56,0.01,0.09
5.852,-0.76,0.02,0.14
5.863,-0.74,-0.18,0.24
5.871,-0.82,0.09,0.31
5.880,-0.67,0.02,0.24
5.891,-0.74,-0.01,0.11
5.911,-0.79,-0.14,0.34
5.942,-0.93,0.07,0.32
5.946,-0.67,-0.03,0.12
5.948,-0.67,-0.02,0.11
5.950,-0.66,0.05,0.26
5.960,-0.78,-0.06,0.26
5.969,-0.63,-0.04,0.14
5.981,-0.67,-0.05,0.06
5.989,-0.44,0.06,0.16
5.999,-0.49,0.05,0.29
6.010,-0.38,-0.06,0.14
6.039,-0.18,0.04,0.06
6.040,-0.03,-0.03,-0.11
6.042,-0.05,0.01,0.04
6.066,-0.08,-0.02,0.04
6.068,0.00,-0.01,-0.00
6.070,0.15,-0.05,-0.14
6.079,0.25,0.02,-0.07
6.088,0.23,-0.02,-0.07
6.099,0.21,-0.02,-0.05
6.107,0.13,-0.05,-0.11
6.118,0.24,0.04,-0.07
6.128,0.20,0.00,-0.02
