time,x,y,z
7.906,0.15,0.06,0.23
7.916,0.03,0.08,0.33
7.940,0.14,0.21,-0.14
7.941,0.03,0.05,-0.35
7.945,0.22,0.04,-0.07
7.958,0.08,0.06,0.16
7.969,0.19,-0.13,0.13
7.976,0.17,-0.13,-0.11
7.986,0.50,0.16,-0.24
7.995,0.97,0.05,-0.30
8.004,1.05,0.09,-0.25
8.015,1.11,0.06,-0.33
8.042,1.18,0.13,-0.39
8.044,1.21,0.05,-0.38
8.046,-19.44,-4.20,1.71
8.057,5.68,3.03,0.39
8.064,5.02,-0.75,-1.94
8.074,2.19,-0.18,-1.27
8.086,-0.46,0.60,-0.08
8.094,-0.65,0.21,-0.05
8.103,0.20,0.07,-0.02
8.113,0.40,0.32,0.05
8.134,0.12,-0.00,0.12
8.146,0.20,0.07,0.09
8.149,0.16,0.19,0.03
8.155,0.04,0.20,0.00
8.162,0.07,0.03,-0.03
8.173,0.24,0.28,0.06
8.183,0.29,0.25,0.11
8.192,0.08,0.08,0.03
8.204,0.04,0.21,-0.11
8.213,0.18,0.16,-0.14
8.221,0.20,0.17,0.01
8.235,0.12,0.11,0.16
8.260,0.21,0.15,-0.03
8.261,0.16,0.20,-0.05
8.262,0.10,0.14,0.01
8.286,0.17,0.13,0.11
8.288,0.22,0.15,0.06
8.291,0.10,0.16,-0.01
8.301,0.13,0.07,-0.05
8.319,0.18,0.17,-0.01
8.321,0.22,0.15,0.04
8.331,0.10,0.11,0.06
8.340,0.16,0.13,0.01
8.351,0.11,0.13,-0.08
8.366,0.17,0.18,0.01
8.377,0.16,0.10,0.02
8.380,0.14,0.19,0.01
8.390,0.11,0.17,-0.09
8.401,0.12,0.12,-0.10
8.410,0.18,0.14,0.05
8.433,0.12,0.10,0.09
8.439,0.16,0.13,-0.04
8.440,0.14,0.11,-0.10
8.449,0.19,0.12,-0.04
8.459,0.12,0.11,0.02
8.473,0.03,0.00,-0.04
8.479,0.39,0.23,-0.06
8.489,0.23,0.23,0.07
8.499,0.34,-0.11,0.03
8.510,-0.22,0.27,0.07
8.518,0.15,0.09,-0.03
8.551,0.17,-0.51,-0.06
8.552,-0.13,0.64,0.17
8.553,2.18,-0.11,-0.17
8.558,-0.78,0.25,0.05
8.568,1.05,0.13,0.03
8.577,-0.26,0.44,0.05
8.588,1.09,-0.12,-0.10
8.597,-0.55,0.42,-0.10
8.608,0.61,0.07,0.04
8.632,-0.01,0.17,0.06
8.634,0.54,0.06,-0.02
8.642,-0.27,0.11,-0.05
8.651,0.12,0.18,-0.18
8.658,0.05,0.07,-0.23
8.666,0.24,-0.13,-0.20
8.676,0.25,0.05,0.03
8.688,0.76,0.21,0.29
8.695,0.30,0.06,0.14
8.707,0.96,0.11,0.50
8.715,0.51,0.11,-0.29
8.729,0.83,0.37,0.29
8.736,-0.08,0.12,-0.24
8.746,-0.02,0.12,-0.18
8.756,0.12,0.04,0.14
